229,271,249,251
229,271,248,252
230,271,248,251
229,271,248,252
229,270,249,252
228,270,249,253
229,269,249,253
229,270,248,253
228,270,249,253
227,271,249,253
227,272,248,253
228,272,248,252
229,272,247,252
229,272,246,253
228,272,247,253
228,272,248,252
229,272,247,252
229,273,247,251
228,274,247,251
229,273,247,251
229,272,248,251
228,272,248,252
229,272,247,252
230,272,246,252
230,271,246,253
230,272,245,253
230,272,246,252
231,272,245,252
230,272,245,253
230,271,246,253
230,270,247,253
230,271,247,252
231,271,246,252
231,270,247,252
231,270,248,251
232,270,247,251
233,270,246,251
234,270,245,251
235,269,245,251
236,269,245,250
235,269,245,251
235,268,245,252
235,267,245,253
235,266,246,253
236,266,246,252
236,265,246,253
237,265,246,252
237,264,246,253
236,265,246,253
236,265,245,254
236,265,244,255
236,264,244,256
235,264,244,257
236,263,244,257
235,263,245,257
236,263,245,256
236,262,246,256
237,262,245,256
238,261,245,256
239,260,245,256
240,259,245,256
241,259,244,256
242,259,244,255
242,259,243,256
243,258,243,256
242,258,243,257
242,257,244,257
243,257,244,256
244,256,244,256
245,256,243,256
246,256,243,255
246,255,244,255
246,255,243,256
247,254,243,256
246,254,244,256
247,253,244,256
247,252,244,257
246,252,244,258
247,252,244,257
247,251,244,258
246,251,245,258
245,251,245,259
245,252,244,259
244,252,245,259
245,251,245,259
245,251,246,258
246,251,245,258
246,251,244,259
247,251,244,258
248,251,244,257
248,250,245,257
248,249,246,257
248,249,245,258
248,249,244,259
249,248,244,259
249,249,243,259
250,249,242,259
250,248,242,260
250,247,242,261
251,246,241,262
252,246,240,262
252,246,239,263
252,246,240,262
252,246,241,261
253,246,241,260
253,247,241,259
254,246,241,259
253,246,241,260
253,246,240,261
252,246,241,261
252,246,240,262
252,245,241,262
253,244,241,262
252,245,241,262
252,244,241,263
253,244,241,262
253,245,241,261
254,245,241,260
253,245,242,260
254,244,242,260
255,244,241,260
256,243,241,260
257,242,241,260
257,242,240,261
258,241,240,261
259,240,240,261
259,240,241,260
261,240,239,260
260,240,240,260
260,241,240,259
261,241,239,259
261,240,239,260
260,240,240,260
261,240,239,260
261,240,238,261
260,240,239,261
259,240,240,261
259,241,240,260
259,240,241,260
260,240,241,259
261,240,240,259
261,241,240,258
261,241,239,259
262,241,239,258
262,242,239,257
263,242,238,257
264,242,238,256
263,242,239,256
264,241,239,256
263,242,239,256
263,242,240,255
264,241,240,255
264,240,241,255
263,240,242,255
262,240,242,256
261,240,242,257
261,241,242,256
261,240,243,256
262,239,243,256
262,238,244,256
261,239,244,256
262,238,244,256
263,238,243,256
263,238,244,255
263,238,245,254
263,238,244,255
263,237,244,256
263,237,245,255
263,237,244,256
262,237,244,257
262,236,244,258
263,235,244,258
263,234,244,259
263,233,244,260
262,233,244,261
261,233,244,262
262,232,244,262
262,232,245,261
263,231,245,261
264,231,244,261
264,232,244,260
264,232,243,261
265,232,242,261
264,232,243,261
265,232,242,261
265,233,241,261
265,233,242,260
264,233,242,261
263,233,243,261
264,233,243,260
265,233,242,260
266,232,242,260
266,232,243,259
267,231,243,259
266,231,243,260
267,231,243,259
268,230,243,259
269,230,242,259
270,230,241,259
269,231,241,259
269,232,240,259
269,232,239,260
269,233,238,260
269,232,238,261
270,231,238,261
269,231,238,262
268,231,239,262
268,230,240,262
268,230,239,263
268,231,239,262
269,230,239,262
268,230,239,263
269,230,238,263
269,230,239,262
269,230,240,261
269,231,239,261
269,232,238,261
268,232,238,262
269,231,238,262
269,232,238,261
269,232,237,262
269,233,237,261
270,233,236,261
270,233,235,262
270,233,236,261
271,232,236,261
270,232,237,261
269,233,237,261
268,233,237,262
269,233,236,262
269,234,235,262
268,234,236,262
268,233,237,262
269,233,237,261
269,233,238,260
268,233,239,260
268,233,238,261
268,233,237,262
268,234,237,261
269,233,237,261
269,233,238,260
269,232,239,260
270,232,239,259
271,232,239,258
272,231,239,258
273,230,239,258
274,230,238,258
275,229,238,258
275,228,239,258
276,228,239,257
276,229,238,257
276,230,237,257
276,231,236,257
276,230,236,258
276,230,235,259
277,230,234,259
276,230,234,260
277,230,233,260
276,230,233,261
275,230,234,261
274,230,235,261
275,229,235,261
275,228,236,261
275,229,236,260
276,229,235,260
276,228,235,261
275,228,235,262
276,228,234,262
277,227,234,262
278,227,234,261
278,228,234,260
278,228,233,261
278,227,234,261
277,227,235,261
276,227,236,261
276,226,237,261
275,226,238,261
275,225,238,262
275,224,239,262
276,224,239,261
276,223,239,262
276,223,238,263
276,223,239,262
276,224,239,261
277,223,239,261
276,223,240,261
275,223,241,261
275,222,241,262
275,221,242,262
275,220,242,263
276,220,242,262
277,220,241,262
277,221,241,261
